doi,capture.READER_COUNT,citation.Scopus,citation.CrossRef,citation.Academic Citation Index (ACI) - airiti,citation.PubMed,citation.Policy Citation,citation.Patent Families,mention.NEWS_COUNT,mention.FACEBOOK_COUNT,mention.REFERENCE_COUNT,citation.SSRN,mention.ABSTRACT_VIEWS,mention.DOWNLOAD_COUNT,mention.ALL_BLOG_COUNT,citation.PubMed Guidelines,mention.FULL_TEXT_VIEWS,citation.SciELO,capture.EXPORTS_SAVES,citation.CSCD
10.3390/ijerph16101858,89.0,27.0,29.0,,6.0,1.0,,1.0,40.0,,,,,1.0,,,,,
10.1021/acschemneuro.9b00291,31.0,5.0,3.0,,3.0,,,,,,,,,,,,,,
10.1111/jvim.15634,70.0,15.0,10.0,,9.0,,,,30.0,,,,,,,,,,
10.1002/hrdq.21382,33.0,4.0,4.0,,,,,,2.0,,,,,,,,,,
10.1115/detc2019-97955,4.0,4.0,,,,,,,,,,,,,,,,,
10.1249/01.mss.0000560616.30605.ab,3.0,,,,,,,,,,,,,,,,,,
10.1158/1535-7163.mct-18-0953,33.0,19.0,12.0,,17.0,,,,,,,,,,,,,,
10.5465/ambpp.2019.18067abstract,,,,,,,,,,,,,,,,,,,
10.1096/fasebj.2019.33.1_supplement.448.3,2.0,,2.0,,,,,,,,,,,,,,,,
10.1675/063.042.0302,13.0,3.0,,,,,,,7.0,,,,,,,,,,
10.1115/dmd2019-3319,8.0,,,,,,,,,,,,,,,,,,
10.54718/heoa9693,1.0,,1.0,,,,,,,,,51.0,136.0,,,,,,
10.1111/bdi.12789,60.0,7.0,5.0,,1.0,,,,,,,,,,,,,,
10.1123/jtpe.2018-0069,129.0,26.0,13.0,1.0,,,,,,,,,,,,,,,
10.1115/imece2019-11862,22.0,2.0,,,,,,,,,,,,,,,,,
10.1123/jmld.2018-0003,37.0,5.0,2.0,,,,,,,,,,,,,,,,
10.1002/jaba.545,26.0,7.0,7.0,,1.0,,,,,,,3.0,,,,,,,
10.2118/184444-pa,8.0,10.0,4.0,,,,,,,,,,,,,,,,
10.1109/mwscas.2019.8885025,1.0,,,,,,,,,,,,,,,,,,
10.1096/fasebj.2019.33.1_supplement.612.13,,,,,,,,,,,,,,,,,,,
10.2514/6.2019-0368,7.0,5.0,4.0,,,,,,,,,,,,,,,,
10.3390/nano9111621,15.0,7.0,6.0,,,,,,,,,,,,,,,,
10.1002/pros.23802,28.0,3.0,1.0,,2.0,,,,,,,,,,,,,,
10.1098/rsif.2019.0028,16.0,10.0,11.0,,8.0,,,,,,,,,,,,,,
10.1177/0741713619867077,30.0,6.0,,,,,,,,,,,,,,,,,
10.1075/ml.19019.ham,4.0,4.0,2.0,,,,,,,,,,,,,,,,
10.1093/geroni/igz038.3337,1.0,,,,,,,,,,,,,,,,,,
10.5465/annals.2017.0081,214.0,87.0,27.0,,,,,,,,,,,,,,,,
10.1177/0091647119837013,64.0,20.0,16.0,,,,,,,,,,,,,,,,
10.1177/2167479519832017,23.0,10.0,1.0,,,,,15.0,,,,,,,,,,,
10.1249/01.mss.0000561926.74237.39,5.0,,,,,,,,,,,,,,,,,,
10.4018/978-1-5225-7531-3.ch006,,,,,,,,,,,,,,,,,,,
10.1055/s-0037-1611904,4.0,5.0,,,,,,,,,,,,,,,,,
10.4018/978-1-5225-7531-3.ch003,3.0,,4.0,,,,,,,,,,,,,,,,
10.1080/19439962.2019.1658674,30.0,13.0,10.0,,,,,,,,,,,,,,,,
10.1002/ppul.24449,47.0,27.0,23.0,,10.0,,,,,,,,,,,,,,
10.1167/19.10.102b,,,,,,,,,,,,,,,,,,,
10.1080/08961530.2019.1678084,39.0,3.0,,,,,,,,,,,,,,,,,
10.1080/00913367.2019.1681035,243.0,54.0,10.0,,,,,1.0,44.0,,,17.0,,,,,,,
10.1177/1176935119872959,19.0,4.0,1.0,,2.0,,,,,,,,,,,,,,
10.1521/bumc_2019_83_04,39.0,11.0,,,3.0,,,,,,,,,,,,,,
10.1145/3308558.3313395,101.0,24.0,11.0,,,,,,,,,,,,,,,,
10.1080/10668926.2019.1605314,2.0,,,,,,,,,,,,,,,,,,
10.1002/jclp.22748,106.0,41.0,28.0,,10.0,,,2.0,26.0,,,,,,,,,,
10.2200/s00911ed1v01y201903eng035,23.0,2.0,,,,,,,,,,,,,,,,,
10.5465/amr.2016.0432,186.0,78.0,43.0,,,,,,2.0,,,16.0,1755.0,,,,,,
10.1093/jas/skz258.295,,,,,,,,,,,,,,,,,,,
10.1177/2156869319859402,19.0,1.0,,,,,,,,,,,,,,,,,
10.1093/jat/bkz075,57.0,6.0,,,3.0,,,,,,,,,,,,,,
10.31274/3d9ea6a4.2abca547,,,,,,,,,,,,,,,,,,,
10.1177/1071181319631489,4.0,2.0,1.0,,,,,,,,,,,,,,,,
10.1111/jan.14213,83.0,13.0,14.0,,2.0,,,,,,,,,,,,,,
10.1145/3341301.3359631,147.0,143.0,74.0,,,,,,,,,,,,,,,,
10.1525/nr.2019.22.4.131,,,,,,,,,,,,,,,,,,,
10.1177/0148333119840855,,,,,,,,,,,,,,,,,,,
10.5325/arthmillj.14.1.0086,,,,,,,,,,,,,,,,,,,
10.1215/00141801-7217582,,,,,,,,,,,,,,,,,,,
10.1145/3328020.3353932,15.0,1.0,1.0,,,,,,,,,,,,,,,,
10.5325/arthmillj.14.1.0069,,,,,,,,,,,,,,,,,,,
10.1002/bdr2.1491,26.0,1.0,1.0,,,3.0,,,,,,,,,,,,,
10.1002/pfi.21838,3.0,,,,,,,,,,,,,,,,,,
10.1215/00141801-7517868,3.0,7.0,4.0,,,,,,204.0,,,,,,,,,,
10.5038/2379-9951.4.2.1114,4.0,,,,,,,,,,,561.0,955.0,,,,,,
10.1525/nr.2019.22.4.112,,,,,,,,,,,,,,,,,,,
10.31390/cwbr.21.2.19,,,,,,,,,,,,65.0,465.0,,,,,,
10.3375/043.039.0206,8.0,1.0,,,,,,,,,,,,,,,,,
10.5993/ajhb.43.5.4,50.0,,,,,,,,,,,,,,,,,,
10.1177/0094306119889962x,1.0,,,,,,,,,,,,,,,,,,
10.1080/14606925.2019.1594938,7.0,,,,,,,,,,,,,,,,,,
10.1162/jinh_r_01470,,,,,,,,,,,,,,,,,,,
10.1002/he.20343,15.0,,4.0,,,,,,,,,,,,,,,,
10.1177/1559827619849028,329.0,34.0,34.0,,12.0,2.0,,1.0,,,,,,,,,,,
10.1080/10496491.2019.1612496,68.0,5.0,5.0,,,,,,,,,,,,,,,,
10.1089/scd.2019.0104,30.0,19.0,9.0,,12.0,,,,,,,,,,,,,,
10.1177/1096348019840794,69.0,11.0,1.0,,,,,,,,,,,,,,,,
10.1093/jmammal/gyy147,10.0,6.0,5.0,,,,,,,,,,,,,,,,
10.1002/ajhb.23309,184.0,102.0,78.0,,40.0,3.0,,,18.0,,,,,,,,,,
10.5038/2164-0866.4.2.1114,4.0,,,,,,,,,,,561.0,955.0,,,,,,
10.1525/nr.2019.22.4.129,,,,,,,,,,,,,,,,,,,
10.1080/00933104.2019.1582381,44.0,24.0,23.0,,,,,,27.0,,,,,,,,,,
10.1093/jaarel/lfz052,3.0,,,,,,,,,,,,,,,,,,
10.1093/tas/txz163,11.0,5.0,,,3.0,,,,,,,,,,,,,,
10.1111/rsr.13895,,,,,,,,,,,,,,,,,,,
10.1080/03612759.2019.1543495,,,,,,,,,,,,,,,,,,,
10.1145/3362743.3362965,8.0,14.0,7.0,,,,1.0,,,,,,,,,,,,
10.1021/jacs.9b06628,98.0,154.0,108.0,,10.0,,,,,,,,,,,,,,
10.1111/hisn.13210,,,,,,,,,,,,,,,,,,,
10.1525/nr.2019.23.2.121,,,,,,,,,,,,,,,,,,,
10.5465/ambpp.2019.13422symposium,3.0,,,,,,,,,,,,,,,,,,
10.1080/08995605.2019.1565909,30.0,1.0,2.0,,,,,,,,,,,1.0,,,,,
10.1111/ssm.12326,36.0,,4.0,,,,,,,,,,,,,,,,
10.1093/jas/skz053.108,,,,,,,,,,,,,,,,,,,
10.1093/jas/skz258.279,,,,,,,,,,,,,,,,,,,
10.1002/jeab.565,58.0,14.0,12.0,,4.0,,,,,,,,,,,,,,
10.1111/ffe.13015,6.0,2.0,2.0,,,,,,,,,,,,,,,,
10.14814/phy2.14235,13.0,15.0,,,8.0,,,,,,,,,,,,,,
10.3996/122017-jfwm-104,20.0,1.0,,,,,,,,,,,,,,,,,
10.1152/ajpheart.00724.2018,35.0,5.0,1.0,,3.0,,,,,,,,,,,,,,
10.1093/geroni/igz038.1602,2.0,,,,,,,,,,,,,,,,,,
10.1177/0886260519883866,168.0,65.0,22.0,,7.0,,,,,,,,,,,,,,
10.1002/cbic.201900002,16.0,5.0,3.0,,3.0,,,1.0,,,,,,,,,,,
10.1002/qua.25992,2.0,,,,,,,,,,,,,,,,,,
10.1080/15348431.2018.1510331,14.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1177/0309133319841897,3.0,,,,,,,,,,,,,,,,,,
10.1089/thy.2018.0655,35.0,37.0,,,24.0,,,1.0,,,,,,,,,,,
10.1002/jmor.21092,30.0,16.0,15.0,,5.0,,,,125.0,,,,,,,,,,
10.1080/08974454.2019.1683801,,,,,,,,,,,,,,,,,,,
10.1111/tgis.12583,22.0,16.0,8.0,,,,,,,,,,,,,,,,
10.22175/mmb.10737,1.0,,,,,,,,,,,,,,,,,,
10.3390/su11205855,14.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1055/s-0039-1692263,2.0,,,,,,,,,,,,,,,,,,
10.1080/00918369.2019.1616430,72.0,8.0,2.0,,6.0,,,,45.0,,,,,,,,,,
10.24963/ijcai.2019/401,36.0,4.0,,,,,,,,,,,,,,,,,
10.1111/jmwh.13014,120.0,29.0,21.0,,14.0,,,,,,,,,,,,,,
10.1145/3318299.3318382,47.0,23.0,12.0,,,1.0,,,,,,,,,,,,,
10.1093/jas/skz258.317,,,,,,,,,,,,,,,,,,,
10.4018/978-1-5225-9531-1.ch017,1.0,,,,,,,,,,,,,,,,,,
10.1111/eth.13000,12.0,2.0,2.0,,,,,,148.0,,,,,,,,,,
10.1670/18-103,18.0,2.0,,,,,,,,,,,,,,,,,
10.1073/pnas.1815823116,134.0,44.0,42.0,,30.0,,,,25.0,,,,,,,,,,
10.1177/016146811912101106,18.0,,,,,,,,,,,,,,,,,,
10.14814/phy2.13965,21.0,5.0,,,1.0,,,,,,,,,,,,,,
10.1145/3337821.3337855,11.0,3.0,1.0,,,,,,,,,,,,,,,,
10.1249/01.mss.0000563467.27920.4c,,,,,,,,,,,,,,,,,,,
10.1111/gcbb.12609,32.0,9.0,8.0,,,,,,,,,,,,,,,,
10.1111/pere.12287,13.0,10.0,9.0,,,,,,71.0,,,,,1.0,,,,,
10.1158/1557-3265.ovcasymp18-nt-112,3.0,,,,,,,,,,,,,,,,,,
10.1177/0309133319874189,4.0,1.0,1.0,,,,,,2.0,,,,,,,,,,
10.1093/isq/sqz045,23.0,33.0,5.0,,,1.0,,,,,,,,,,,,,
10.1177/0022042618823007,53.0,25.0,4.0,,14.0,,,,,,,,,,,,,,
10.1177/1524839919895507,31.0,21.0,20.0,,14.0,,,1.0,,,,,,,,,,,
10.1080/02701367.2019.1654066,34.0,5.0,5.0,,2.0,,,,,,,3.0,,,,,,,
10.1021/acsmedchemlett.9b00299,14.0,6.0,7.0,,1.0,,,,,,,5.0,,,,,,,
10.1002/ps.5611,8.0,9.0,9.0,,,,,,,,,,,,,,,,
10.1093/jas/skz262,41.0,8.0,,,3.0,,,,,,,,,,,,,,
10.1177/1463949119848452,4.0,,,,,,,,,,,,,,,,,,
10.1093/ofid/ofz360.683,,,,,,,,,,,,,,,,,,,
10.2514/6.2019-2091,10.0,19.0,5.0,,,,,,,,,55.0,1004.0,,,,,,
10.1111/jfir.12165,20.0,3.0,5.0,,,,,,,,,,,,,,,,
10.1061/jpeodx.0000087,11.0,14.0,1.0,,,,,,,,,,,,,,,,
10.1021/acs.jpcb.9b01694,25.0,9.0,9.0,,3.0,,,,,,,,,,,,,,
10.1177/1086296x19833297,66.0,16.0,2.0,,,,,,27.0,,,,,,,,,,
10.1177/0731948719840774,45.0,3.0,,,,,,,,,,,,,,,,,
10.22175/mmb.10681,1.0,,,,,,,,,,,,,,,,,,
10.1021/acsearthspacechem.8b00148,23.0,17.0,9.0,,,,,,,,,,,,,,,,
10.1080/23293691.2019.1601905,14.0,3.0,,,,,,,,,,,,,,,,,
10.1093/jas/skz122.401,1.0,,,,,,,,,,,,,,,,,,
10.1177/0020294019830108,13.0,11.0,6.0,,,,1.0,,,,,,,,,,,,
10.1177/1077801218821444,84.0,9.0,,,2.0,,,,,,,,,,,,,,
10.1080/1533015x.2019.1582375,121.0,18.0,7.0,,,,,,,,,,,,,,,,
10.1249/01.mss.0000563049.45984.aa,5.0,,,,,,,,,,,,,,,,,,
10.1177/1048371319877888,6.0,,,,,,,,,,,,,,,,,,
10.1111/geb.12995,44.0,18.0,18.0,,,,,,18.0,,,1.0,,,,,,,
10.1080/10401334.2019.1646653,62.0,4.0,,,2.0,,,,2.0,,,,,,,,,,
10.1177/2165079919882952,51.0,12.0,,,5.0,,,,,,,8.0,,,,,,,
10.1177/0021934719851870,36.0,14.0,13.0,,,2.0,,,,,,22.0,,2.0,,,,,
10.1177/0895904819874756,77.0,41.0,13.0,,,16.0,,69.0,53.0,,,,,6.0,,,,,
10.1111/jvim.15455,156.0,32.0,33.0,,20.0,,,,120.0,,,,,,,,,,
10.1002/jat.3812,45.0,23.0,13.0,,10.0,5.0,,,1.0,,,,,,,,,,
10.1177/0016986219890599,84.0,23.0,,,,,,,,,,,,,,,,,
10.1021/acs.jpcb.9b02433,32.0,11.0,10.0,,2.0,,,,,,,,,,,,,,
10.1093/jas/skz189,18.0,1.0,,,1.0,,,,,,,,,,,,,,
10.1649/0010-065x-73.4.1075,3.0,3.0,,,,,,,,,,,,,,,,,
10.1111/1752-1688.12723,50.0,36.0,25.0,,,,,,12.0,,,,,,,,,,
10.1111/joop.12294,64.0,3.0,3.0,,,,,,4.0,,,,,,,,,,
10.1080/03610918.2019.1658780,50.0,20.0,10.0,,,,,,86.0,,,,,,,,,,
10.1093/jas/skz053.068,1.0,,,,,,,,,,,,,,,,,,
10.1093/geroni/igz038.2346,1.0,,,,,,,,,,,,,,,,,,
10.1111/soc4.12698,45.0,19.0,15.0,,,,,1.0,,,,,,,,,,,
10.1080/10646175.2019.1666068,47.0,6.0,,,,,,,,,,,,,,,,,
10.1128/msphere.00199-19,20.0,14.0,8.0,,12.0,,,,,,,,,,,,,,
10.1128/msphere.00173-19,56.0,27.0,14.0,,21.0,,1.0,1.0,,,,,,,,,,,
10.1093/geroni/igz038.2960,1.0,,,,,,,,,,,,,,,,,,
10.1080/1550428x.2019.1593278,39.0,12.0,10.0,,,,,,,,,,,,,,,,
10.1080/10641734.2018.1557090,17.0,9.0,,,,,,,,,,,,,,,,,
10.1249/01.mss.0000561717.28075.cd,,,,,,,,,,,,,,,,,,,
10.1002/jclp.22835,39.0,6.0,5.0,,2.0,,,,60.0,,,,,,,,,,
10.3390/brainsci9090212,142.0,92.0,79.0,,26.0,,,1.0,,,,,,,,,,,
10.55533/2325-5226.1222,,,,,,,,,,,,15.0,102.0,,,,,,
10.1080/00918369.2019.1616429,41.0,11.0,2.0,,4.0,,,,2.0,,,,,,,,,,
10.2118/195307-ms,14.0,6.0,2.0,,,,,,,,,,,,,,,,
10.1894/0038-4909-63-2-96,4.0,1.0,,,,,,,2.0,,,,,,,,,,
10.1177/0309133319852003,63.0,31.0,5.0,,,,,,1.0,,,54.0,,,,,,,
10.1177/1045159519892696,9.0,3.0,1.0,,,,,,,,,,,,,,,,
10.1080/1046560x.2019.1595306,37.0,11.0,8.0,,,,,,,,,,,,,,,,
10.1177/1525740119870772,32.0,7.0,1.0,,,,,,,,,,,,,,,,
10.1177/0886260519860087,157.0,37.0,3.0,,8.0,,,1.0,,,,,,,,,,,
10.1080/1937156x.2019.1622947,20.0,3.0,,,,,,,,,,4.0,,,,,,,
10.5465/ambpp.2019.15776abstract,,,,,,,,,,,,,,,,,,,
10.1080/22297928.2019.1644195,8.0,1.0,1.0,,,,,,79.0,,,20.0,,,,,,,
10.1002/ecs2.2557,22.0,6.0,4.0,,,,,,,,,,,,,,,,
10.1145/3388218.3388224,10.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1111/jomf.12654,28.0,3.0,3.0,,,,,,,,,,,,,,,,
10.1111/1745-9133.12450,46.0,21.0,18.0,,,1.0,,2.0,,,,,,,,,,,
10.1111/aeq.12299,27.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1177/1045159519866433,26.0,4.0,,,,,,,,,,,,,,,,,
10.1063/1.5055731,7.0,3.0,3.0,,,,,,,,,,,,,,,,
10.2118/193830-ms,8.0,11.0,2.0,,,,,,,,,,,,,,,,
10.1111/jmft.12382,34.0,11.0,6.0,,4.0,,,,,,,,,,,,,,
10.1027/1015-5759/a000473,36.0,2.0,1.0,,,,,,,,,,,,,,,,
10.32517/0234-0453-2019-34-5-51-53,2.0,,,,,,,,,,,,,,,,,,
10.1163/18756735-000072,3.0,3.0,2.0,,,,,,,,,,,,,,,,
10.4018/978-1-5225-9531-1.ch002,2.0,,3.0,,,,,,,,,,,,,,,,
10.1111/aor.13477,38.0,20.0,20.0,,6.0,,,,,,,,,,,,,,
10.1111/jora.12541,74.0,33.0,27.0,,12.0,,,,1.0,,,33.0,350.0,,,,,,
10.1093/bioinformatics/btz057,15.0,5.0,2.0,,2.0,,,,,,,,,,,,,,
10.31446/jcp.2019.08,5.0,,,,,,,,90.0,,,541.0,586.0,,,,,,
10.1177/1076217519880593,110.0,34.0,,,,,,,,,,,,,,,,,
10.1002/jcad.12264,95.0,11.0,5.0,,,,,,28.0,,,,,,,,,,
10.1098/rsfs.2019.0086,18.0,4.0,1.0,,1.0,,,,,,,,,,,,,,
10.1021/acsanm.9b00161,29.0,23.0,15.0,,,,,,,,,,,,,,,,
10.1177/1071181319631420,7.0,4.0,2.0,,,,,,,,,,,,,,,,
10.1089/ast.2018.1861,39.0,37.0,11.0,,10.0,,,3.0,,,,,,,,,,,
10.1093/jas/skz272,15.0,13.0,10.0,,11.0,,,,,,,,,,,,,,
10.1645/18-205,16.0,3.0,3.0,,,,,,47.0,,,,,,,,,,
10.1177/1538192719835683,34.0,14.0,7.0,,,,,,61.0,,,,,1.0,,,,,
10.1093/geront/gny167,95.0,35.0,1.0,,10.0,,,,,,,,,,,,,,
10.1055/a-0810-8637,41.0,11.0,,,2.0,,,,,,,,,,,,,,
10.1097/01.ccm.0000551926.97228.5d,,,1.0,,,,,,,,,,,,,,,,
10.22175/mmb2019.05.0014,10.0,5.0,1.0,,,,,,,,,,,,,,,,
10.1111/1911-3846.12473,58.0,1.0,2.0,,,,,,,,,,,,,,,,
10.1177/1470785319850007,16.0,3.0,,,,,,,,,,,,,,,,,
10.3102/0091732x18821114,92.0,24.0,21.0,,,,,,,,,,,,,,,,
10.1080/15236803.2019.1616657,24.0,6.0,2.0,,,,,,102.0,,,,,,,,,,
10.1177/0163443719853504,80.0,28.0,1.0,,,4.0,,1.0,,,,,,1.0,,,,,
10.1111/emip.12244,44.0,5.0,2.0,,,,,,,,,,,1.0,,,,,
10.1109/ms.2018.290100623,98.0,12.0,5.0,,,,,,,,,,,,,,,,
10.1177/0091647119837017,28.0,9.0,,,,,,,,,,,,,,,,,
10.1111/cico.12389,8.0,4.0,5.0,,,,,,,,,4.0,,,,,,,
10.4018/978-1-5225-9438-3.ch018,7.0,,,,,,,,,,,2.0,101.0,,,,,,
10.1177/0193723519889342,16.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1080/15348458.2019.1671195,34.0,8.0,5.0,,,,,,18.0,,,,,,,,,,
10.1145/3343031.3350980,79.0,57.0,43.0,,,,,,,,,,,,,,,,
10.1080/10580530.2020.1696587,45.0,12.0,6.0,,,,,,,,,,,,,,,,
10.1080/01639625.2019.1596465,40.0,36.0,27.0,,,3.0,,7.0,162.0,,,,,1.0,,,,,
10.2478/gb-2019-0028,,,,,,,,,,,,,,,,,,,
10.1117/1.jnp.13.046006,7.0,10.0,4.0,,,,,,,,,,,,,,,,
10.1080/01639625.2019.1701622,25.0,4.0,2.0,,,,,,,,,,,,,,,,
10.1093/geroni/igz038.2420,1.0,,,,,,,,,,,,,,,,,,
10.1093/jhered/esz004,7.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1093/geroni/igz038.000,,,,,,,,,,,,,,,,,,,
10.1111/jfir.12175,6.0,,,,,,,,24.0,,,,,,,,,,
10.1080/10255842.2019.1569639,25.0,3.0,,,,,,,,1.0,,,,,,,,,
10.1080/0144929x.2019.1602167,98.0,45.0,24.0,,,,,,,,,,,,,,,,
10.14309/01.ajg.0000595996.94921.47,1.0,,,,,,,,,,,,,,,,,,
10.1177/1748895819877453,22.0,2.0,1.0,,,,,,,,,,,,,,,,
10.1063/1.5093289,27.0,29.0,23.0,,,,,,,,,,,,,,,,
10.1177/2056305119883427,79.0,15.0,,,,,,,,,,,,,,,,,
10.46743/2160-3715/2019.3634,32.0,11.0,,,,,,,3.0,,,668.0,746.0,,,,,,
10.1093/jahist/jaz646,1.0,,,,,,,,,,,,,,,,,,
10.5465/ambpp.2019.14359symposium,,,,,,,,,,,,,,,,,,,
10.1145/3307339.3342185,32.0,7.0,3.0,,,,,,,,,,,,,,,,
10.1111/nrm.12243,36.0,11.0,10.0,,,,,,22.0,,,,,,,,,,
10.1080/00927872.2019.1612419,,,,,,,,,,,,,,,,,,,
10.1002/adma.201904132,66.0,46.0,42.0,,7.0,,,,,,,,,1.0,,,,,
10.1093/geroni/igz038.1305,1.0,,,,,,,,,,,,,,,,,,
10.1080/15401383.2019.1689213,20.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1177/0022487119845635,29.0,9.0,10.0,,,,,,,,,,,,,,,,
10.1002/env.2620,1.0,,,,,,,,,,,,,,,,,,
10.1002/eco.2120,39.0,40.0,30.0,,,3.0,,,18.0,,,,,,,,,,
10.1177/1086296x19833577,40.0,9.0,5.0,,,,,,56.0,,,,,,,,,,
10.1177/1086296x19833292,55.0,32.0,4.0,,,,,,,,,,,,,,,,
10.5993/ajhb.43.5.6,44.0,14.0,,,2.0,1.0,,,,,,,,,,,,,
10.1080/10911359.2019.1607646,94.0,22.0,19.0,,,1.0,,16.0,78.0,1.0,,,,,,,,,
10.1002/ece3.4719,23.0,4.0,4.0,,1.0,,,,15.0,,,,,,,,,,
10.1093/geroni/igz038.149,,,,,,,,,,,,,,,,,,,
10.1249/01.mss.0000561636.47786.3d,3.0,,,,,,,,,,,,,,,,,,
10.1130/g46143.1,21.0,19.0,5.0,,,,,1.0,,1.0,,,,,,,,,
10.1177/0047281619871211,27.0,15.0,,,,,,,,,,,,1.0,,,,,
10.1287/mnsc.2017.2925,88.0,39.0,28.0,,,,,,10.0,,,,,1.0,,,,,
10.1002/adma.201970347,3.0,,2.0,,,,,,,,,,,,,,,,
10.5951/jresematheduc.50.2.0121,29.0,12.0,2.0,,,,,,,,,,,,,,,,
10.1002/jbt.22309,9.0,4.0,2.0,,5.0,,,,,,,,,,,,,,
10.1145/3332186.3332255,16.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
10.1249/01.mss.0000561343.58736.c0,,,,,,,,,,,,,,,,,,,
10.1177/2378023119881282,16.0,5.0,2.0,,,1.0,,,,,,3.0,12.0,,,,,,
10.1177/1048371319834921,15.0,,,,,,,,,,,,,,,,,,
10.1177/1048371319839112,20.0,,,,,,,,,,,,,,,,,,
10.1080/02500167.2018.1552601,68.0,7.0,,,,,,,389.0,,,,,,,,,,
10.1021/acs.nanolett.8b04514,291.0,579.0,438.0,,60.0,,,,,,,,,,,,,,
10.1287/mnsc.2017.2951,202.0,48.0,35.0,,,4.0,,1.0,,,,31.0,,,,,,,
10.1093/condor/duz048,16.0,6.0,,,,,,1.0,,,,,,,,,,,
10.7554/elife.42650.033,,,,,,,,,,,,,,,,,,,
10.1080/15732479.2019.1584824,80.0,27.0,15.0,,,,,,,,,,,,,,,,
10.1002/jcc.26057,9.0,4.0,2.0,,,,,,,,,,,,,,,,
10.1089/vbz.2018.2386,59.0,14.0,4.0,,8.0,1.0,,,,,,,,,,,,,
10.1128/iai.00164-19,18.0,5.0,4.0,,4.0,,,,62.0,,,,,,,,,,
10.1021/acs.jpca.8b10329,6.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1080/07399332.2019.1602775,78.0,3.0,2.0,,1.0,,,,,,,,,,,,,,
10.1177/0020731419896695,56.0,2.0,,,1.0,,,,,,,,,,,,,,
10.1002/ajhb.23350,147.0,56.0,32.0,,12.0,1.0,,,,1.0,,,,,,,,,
10.54718/ncru8603,3.0,,1.0,,,,,,,,,25.0,46.0,,,,,,
10.1075/asj.18011.mac,1.0,,,,,,,,,,,,,,,,,,
10.1116/1.5135035,17.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1111/jpy.12834,28.0,12.0,9.0,,2.0,,,,2.0,2.0,,,,,,,,,
10.1111/j.1936-704x.2019.03297.x,34.0,,5.0,,,,,,,,,,,,,,,,
10.1080/15313204.2019.1628678,8.0,,,,,,,,123.0,,,,,,,,,,
10.1177/016146811912101410,88.0,,34.0,,,,,6.0,,,,,,,,,,,
10.1177/1059601119837045,27.0,1.0,,,,,,,,,,,,,,,,,
10.1111/teth.12497,2.0,,,,,,,,,,,,,,,,,,
10.1080/15456870.2019.1704758,33.0,7.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,
10.1080/00221325.2019.1575180,75.0,20.0,,,11.0,,,,128.0,,,,,,,,,,
10.1002/jcad.12268,37.0,6.0,3.0,,,,,,,,,,,,,,,,
10.1130/2019.1215(17),4.0,3.0,2.0,,,,,,,,,,,,,,,,
10.1080/01924788.2019.1698121,16.0,14.0,1.0,,,,,,,,,,,,,,,,
10.1177/1368430218820957,16.0,7.0,,,,,,,,,,,,1.0,,,,,
10.1002/ett.3595,32.0,23.0,11.0,,,,,,,,,2.0,,,,,,,
10.14814/phy2.14052,21.0,10.0,5.0,,9.0,,,,3.0,,,,,,,,,,
10.3390/rs11212503,31.0,13.0,10.0,,,,,,,,,,,,,,,,
10.1021/acsomega.9b02374,16.0,17.0,14.0,,8.0,,,,,,,,,,,,,,
10.1093/jahist/jaz078,7.0,,,,,,,,,,,,,,,,,,
10.54718/qwbg3927,,,,,,,,,,,,5.0,13.0,,,,,,
10.1080/10410236.2019.1669130,5.0,,1.0,,,,,,,,,,,,,,,,
10.1111/jvim.15493,145.0,58.0,46.0,,46.0,,,,9.0,,,,,,,,,,
10.4018/978-1-5225-7823-9.ch001,6.0,,,,,,,,,,,,,,,,,,
10.1177/1464884919845459,18.0,19.0,13.0,,,,,,,,,,,,,,,,
10.1249/01.mss.0000561744.84127.6d,,,,,,,,,,,,,,,,,,,
10.1152/ajpheart.00466.2019,38.0,22.0,,,5.0,,,,,,,,,,,,,,
10.1021/jacs.9b10247,20.0,42.0,34.0,,7.0,,,1.0,,,,,,,,,,,
10.1093/geroni/igz038.268,,,,,,,,,,,,,,,,,,,
10.5465/ambpp.2019.10361abstract,,,,,,,,,,,,,,,,,,,
10.1080/00913367.2019.1689871,146.0,63.0,6.0,1.0,,,,,,,,138.0,,,,,,,
10.1249/01.mss.0000560995.45356.57,,,,,,,,,,,,,,,,,,,
10.1093/geroni/igz038.267,,,,,,,,,,,,,,,,,,,
10.1115/msec2019-2768,2.0,,,,,,,,,,,,,,,,,,
10.1093/jahist/jaz615,,,,,,,,,,,,,,,,,,,
10.1177/1098048219840784,2.0,,,,,,,,,,,,,,,,,,
10.54718/aohq5059,7.0,,,,,,,,,,,57.0,134.0,,,,,,
